age,salary,years_experience,weekly_hours,performance_score,bonus,projects_handled,department,education_level,employment_type,region
50.0,10587.0,2.0502233079983907,34.0,3.83,3004.0,2.0,HR,PhD,Part-time,West
29.0,3728.0,2.0502233079983907,44.0,1.14,3272.0,18.0,Sales,High School,Full-time,North
,14657.0,2.1034729061296265,49.0,2.21,1654.0,2.0,,High School,Full-time,North
61.0,8988.0,1.4690491938490167,33.0,2.05,1087.0,11.0,Sales,High School,Full-time,North
42.0,5967.0,2.718281828459045,26.0,2.44,2321.0,9.0,HR,Master,Part-time,East
44.0,17527.0,1.5865128974999683,36.0,1.35,1485.0,12.0,Marketing,PhD,Contract,East
59.0,19048.0,1.546350186596627,39.0,4.75,4579.0,17.0,HR,Master,Full-time,West
45.0,8073.0,1.0,,3.22,3848.0,15.0,IT,Master,Contract,East
unknown,8104.0,1.3956124250860895,28.0,2.22,4331.0,17.0,Finance,High School,Contract,South
32.0,5143.0,1.0259725845099392,57.0,2.59,1741.0,18.0,Sales,Master,,West
64.0,10357.0,1.9983217280388539,41.0,2.79,,6.0,Marketing,,Full-time,East
,15043.0,2.1034729061296265,21.0,3.4,,17.0,Finance,Master,,North
20.0,6440.0,,43.0,3.06,2198.0,18.0,HR,Bachelor,Full-time,South
54.0,8644.0,1.0799589994281866,27.0,4.68,2215.0,8.0,Marketing,Master,Full-time,North
24.0,,1.0,30.0,2.99,3093.0,9.0,Finance,PhD,Part-time,West
38.0,17552.0,1.1966035628978209,32.0,4.97,4636.0,6.0,,PhD,Full-time,North
26.0,5914.0,2.0502233079983907,36.0,4.41,4933.0,5.0,IT,High School,Full-time,East
56.0,16584.0,2.6494682894060424,27.0,1.83,1598.0,12.0,IT,Master,Contract,East
35.0,15144.0,1.0526197441660043,40.0,4.72,2826.0,11.0,Sales,Bachelor,Part-time,West
21.0,17397.0,2.214157112310289,37.0,1.47,3747.0,1.0,Sales,Bachelor,Full-time,North
42.0,11787.0,1.2595685362456337,49.0,4.27,1395.0,11.0,IT,Master,Contract,
31.0,17191.0,1.2595685362456337,37.0,2.52,2174.0,19.0,Marketing,bachelor,Part-time,
26.0,3728.0,1.5865128974999683,50.0,4.51,3409.0,9.0,IT,PhD,Part-time,South
43.0,3698.0,2.3306654931033957,57.0,4.47,1430.0,2.0,Sales,Bachelor,,East
19.0,10186.0,2.271664495028051,51.0,4.22,4884.0,12.0,sales,High School,Contract,West
37.0,17512.0,1.7578694994319048,,4.16,1223.0,4.0,IT,PhD,Contract,South
45.0,16923.0,1.9983217280388539,44.0,2.22,,4.0,Marketing,PhD,Contract,South
64.0,19779.0,2.214157112310289,52.0,1.32,1589.0,18.0,Finance,PhD,Contract,West
24.0,10400.0,1.16631144044593,57.0,2.61,1435.0,15.0,Sales,Master,Full-time,West
61.0,7171.0,2.0502233079983907,27.0,,2795.0,19.0,Marketing,Master,Full-time,South
25.0,7360.0,1.1966035628978209,30.0,3.78,655.0,13.0,,PhD,Part-time,North
64.0,5502.0,1.0,41.0,2.38,,19.0,IT,Master,Full-time,South
52.0,8486.0,1.0526197441660043,43.0,4.9,2458.0,17.0,Finance,Bachelor,Full-time,West
31.0,11335.0,1.8035259135633446,36.0,3.56,3001.0,6.0,Sales,Master,Full-time,
34.0,7491.0,1.7578694994319048,31.0,4.29,4719.0,16.0,Sales,Master,Contract,North
53.0,14130.0,1.1966035628978209,,1.53,4330.0,12.0,HR,PhD,,East
57.0,10651.0,2.5170231739337448,34.0,,1354.0,19.0,Sales,High School,Part-time,East
21.0,4167.0,1.0526197441660043,35.0,4.69,1139.0,5.0,Finance,High School,Part-time,South
19.0,4062.0,2.271664495028051,41.0,,2738.0,17.0,HR,High School,Part-time,North
23.0,14174.0,1.9983217280388539,47.0,3.43,,1.0,,Bachelor,Full-time,East
59.0,7729.0,1.1966035628978209,39.0,4.06,941.0,10.0,IT,Master,Full-time,South
21.0,12348.0,2.3306654931033957,52.0,1.7,1836.0,15.0,IT,,,South
46.0,8334.0,2.391198899587423,29.0,3.01,4200.0,11.0,Sales,PhD,Part-time,North
35.0,11924.0,2.214157112310289,59.0,2.59,1448.0,13.0,HR,High School,Full-time,West
43.0,7330.0,1.8035259135633446,51.0,1.59,3873.0,,IT,High School,Full-time,South
unknown,9801.0,1.3956124250860895,52.0,2.47,959.0,1.0,Finance,Master,Contract,West
51.0,7846.0,2.214157112310289,21.0,1.27,892.0,12.0,IT,Master,Contract,West
27.0,9731.0,1.4690491938490167,52.0,1.1,4438.0,11.0,IT,Master,Contract,East
53.0,18368.0,1.0799589994281866,52.0,1.54,2287.0,17.0,HR,Bachelor,Full-time,West
31.0,5539.0,2.5170231739337448,32.0,4.85,2757.0,4.0,HR,Bachelor,Full-time,
48.0,10056.0,1.669994800282483,49.0,3.2,1638.0,15.0,Marketing,High School,,East
32.0,14516.0,1.3956124250860895,52.0,4.86,4308.0,9.0,Finance,Master,Part-time,East
25.0,,2.158105533948446,32.0,2.73,2954.0,19.0,HR,High School,Contract,East
31.0,4542.0,1.546350186596627,45.0,2.25,1966.0,19.0,Sales,PhD,Contract,South
40.0,16964.0,1.16631144044593,41.0,3.02,4174.0,12.0,Finance,PhD,Contract,South
57.0,9313.0,1.2595685362456337,58.0,2.76,1877.0,5.0,Finance,,Contract,West
,16807.0,1.16631144044593,21.0,1.42,3097.0,10.0,HR,Master,Full-time,East
33.0,12580.0,2.271664495028051,57.0,3.56,641.0,17.0,Finance,PhD,Part-time,East
62.0,11691.0,1.7578694994319048,58.0,1.86,3159.0,5.0,HR,Master,Contract,North
35.0,10494.0,1.669994800282483,45.0,3.48,1339.0,16.0,IT,Bachelor,Part-time,West
64.0,7312.0,1.5865128974999683,34.0,3.6,4118.0,7.0,Marketing,Bachelor,Part-time,North
41.0,,1.5865128974999683,53.0,1.61,4417.0,9.0,IT,Master,Part-time,West
43.0,6141.0,2.453304515087031,59.0,1.25,1095.0,3.0,,,Contract,West
42.0,,2.0502233079983907,30.0,4.12,2404.0,15.0,HR,High School,Full-time,South
62.0,9588.0,1.546350186596627,22.0,2.84,780.0,16.0,IT,Master,Contract,South
58.0,8301.0,1.0259725845099392,25.0,1.23,923.0,18.0,Sales,Master,Part-time,North
46.0,18485.0,1.0,28.0,4.98,4865.0,14.0,Sales,High School,Part-time,West
32.0,,1.1080083258081046,25.0,1.23,4749.0,3.0,Sales,Master,Full-time,East
62.0,7748.0,1.6277187378063946,28.0,3.78,2250.0,12.0,HR,High School,Contract,South
18.0,12435.0,1.2922827864993338,58.0,4.93,2467.0,9.0,Finance,PhD,Part-time,East
42.0,6709.0,1.0259725845099392,50.0,,4588.0,7.0,HR,Bachelor,Full-time,North
24.0,16116.0,1.0526197441660043,51.0,1.57,4678.0,9.0,Finance,PhD,Part-time,South
unknown,12576.0,1.7578694994319048,31.0,1.49,3446.0,13.0,IT,,Full-time,South
41.0,13150.0,1.3258467103824276,27.0,2.21,1949.0,18.0,Marketing,High School,Full-time,West
18.0,9530.0,1.6277187378063946,27.0,1.4,2831.0,5.0,Finance,Bachelor,Contract,North
61.0,13188.0,1.1080083258081046,47.0,3.77,2720.0,13.0,,PhD,Part-time,West
25.0,,2.5170231739337448,39.0,1.25,4289.0,4.0,HR,Bachelor,Contract,South
41.0,,2.582396771032214,26.0,3.04,3310.0,2.0,IT,High School,Part-time,North
28.0,,2.1034729061296265,30.0,4.99,2031.0,16.0,Sales,Bachelor,Contract,South
34.0,22655.0,1.227682450060079,39.0,4.26,3490.0,9.0,IT,Master,Part-time,North
25.0,3823.0,2.3306654931033957,,3.46,4993.0,9.0,Marketing,PhD,Contract,South
52.0,8029.0,2.391198899587423,23.0,2.23,1643.0,,HR,,Full-time,East
52.0,16428.0,1.7133688813639787,25.0,3.5,1433.0,11.0,HR,High School,Part-time,East
50.0,19517.0,1.8035259135633446,41.0,3.11,1960.0,1.0,Marketing,Bachelor,Part-time,West
22.0,5105.0,1.5072041981855182,45.0,2.7,3223.0,4.0,HR,Master,Full-time,East
59.0,6627.0,1.2595685362456337,22.0,1.52,3012.0,13.0,Finance,Master,Contract,South
56.0,15972.0,2.1034729061296265,33.0,4.55,,,IT,Bachelor,Part-time,South
58.0,4852.0,1.7578694994319048,30.0,2.8,764.0,13.0,Sales,Bachelor,Part-time,East
45.0,7910.0,,37.0,1.78,2867.0,2.0,Marketing,PhD,Contract,
24.0,70015.0,1.5072041981855182,31.0,2.47,3947.0,9.0,Finance,Master,Full-time,East
26.0,16843.0,1.5072041981855182,42.0,2.66,2262.0,8.0,sales,,Contract,North
25.0,14704.0,1.3956124250860895,31.0,4.31,3548.0,7.0,,High School,Contract,North
29.0,18761.0,,32.0,3.93,2881.0,,Marketing,PhD,Contract,North
51.0,9190.0,2.718281828459045,44.0,4.08,2769.0,18.0,Finance,High School,Part-time,East
50.0,8645.0,1.0259725845099392,38.0,1.04,540.0,3.0,Sales,Master,Full-time,East
,12588.0,1.850368142769234,55.0,2.66,567.0,6.0,Sales,High School,Full-time,East
41.0,14829.0,2.6494682894060424,27.0,2.93,1487.0,12.0,Finance,Master,Contract,North
54.0,11053.0,1.227682450060079,48.0,1.08,4508.0,12.0,HR,Master,Part-time,West
52.0,6330.0,1.7133688813639787,51.0,2.04,3698.0,8.0,Sales,High School,Contract,South
61.0,11662.0,1.0799589994281866,37.0,4.04,3024.0,1.0,IT,High School,Part-time,East
57.0,10114.0,1.8984269857318075,25.0,1.55,,4.0,Finance,Bachelor,Part-time,West
39.0,16323.0,2.0502233079983907,37.0,3.14,2979.0,,Sales,Bachelor,Part-time,South
44.0,4353.0,2.3306654931033957,38.0,1.86,2193.0,3.0,sales,,Part-time,South
52.0,13975.0,,41.0,1.05,2815.0,13.0,IT,Master,Full-time,South
18.0,14023.0,2.5170231739337448,56.0,1.96,,17.0,Sales,High School,Part-time,West
52.0,3667.0,1.2922827864993338,51.0,4.9,2085.0,10.0,IT,PhD,Part-time,West
54.0,12337.0,1.136786165687872,22.0,4.21,1992.0,12.0,IT,Master,Contract,North
64.0,16659.0,1.546350186596627,47.0,4.84,1160.0,15.0,HR,PhD,Contract,West
31.0,6719.0,1.669994800282483,29.0,2.95,1848.0,10.0,IT,High School,Full-time,West
20.0,10483.0,2.453304515087031,54.0,1.44,1799.0,14.0,HR,,Contract,West
18.0,3539.0,2.582396771032214,48.0,3.19,4440.0,13.0,Finance,PhD,Part-time,South
22.0,7964.0,2.3306654931033957,34.0,2.82,2486.0,5.0,HR,,Contract,East
43.0,7835.0,1.5072041981855182,52.0,4.38,2544.0,6.0,,Bachelor,Full-time,North
31.0,,2.5170231739337448,26.0,1.39,4016.0,2.0,Sales,Bachelor,Contract,East
,,1.850368142769234,31.0,2.95,1558.0,17.0,Finance,Bachelor,Contract,East
44.0,10312.0,2.582396771032214,49.0,1.6,1476.0,4.0,Finance,Master,Full-time,West
26.0,8320.0,1.3258467103824276,40.0,2.3,1227.0,14.0,Marketing,High School,Full-time,North
32.0,16216.0,1.7578694994319048,,,3027.0,,HR,High School,Part-time,East
,,1.7133688813639787,43.0,2.9,3636.0,3.0,Sales,Bachelor,Contract,East
43.0,4581.0,1.669994800282483,,2.5,,3.0,HR,Bachelor,Part-time,North
,15677.0,1.9477340410546757,56.0,,1947.0,15.0,IT,Bachelor,Contract,West
30.0,8713.0,2.158105533948446,23.0,2.84,2879.0,6.0,HR,PhD,Contract,East
49.0,19639.0,1.136786165687872,47.0,4.14,4159.0,17.0,Finance,Bachelor,Part-time,South
56.0,7804.0,1.9477340410546757,39.0,4.57,1026.0,12.0,sales,PhD,Contract,East
49.0,13136.0,2.718281828459045,43.0,4.82,2396.0,11.0,HR,High School,Contract,South
21.0,3009.0,,51.0,4.15,,4.0,Sales,Master,Contract,West
47.0,8124.0,1.3258467103824276,55.0,2.26,905.0,6.0,Sales,,Full-time,East
54.0,4015.0,,53.0,3.75,,1.0,IT,Master,Part-time,
40.0,25965.0,1.2595685362456337,55.0,2.75,4240.0,16.0,IT,Master,Full-time,North
56.0,11415.0,1.5072041981855182,21.0,2.02,4774.0,15.0,Finance,PhD,Part-time,East
62.0,16550.0,1.8984269857318075,34.0,4.36,4727.0,17.0,Marketing,PhD,Part-time,West
32.0,17512.0,1.669994800282483,53.0,,2346.0,8.0,Sales,Bachelor,Contract,West
60.0,7158.0,1.9983217280388539,55.0,4.61,1978.0,12.0,Marketing,PhD,Part-time,North
46.0,9970.0,1.0259725845099392,25.0,,2895.0,10.0,Finance,bachelor,Full-time,East
53.0,9938.0,,58.0,3.55,1271.0,15.0,Sales,Bachelor,Full-time,West
30.0,16772.0,2.453304515087031,31.0,3.64,1078.0,9.0,Sales,Master,Full-time,North
49.0,13344.0,1.8984269857318075,22.0,4.58,3401.0,2.0,Marketing,PhD,Part-time,South
24.0,10266.0,2.0502233079983907,37.0,3.55,693.0,5.0,HR,PhD,Full-time,East
39.0,11702.0,1.669994800282483,59.0,3.46,2507.0,6.0,IT,Bachelor,Part-time,South
45.0,,1.2922827864993338,40.0,1.27,1685.0,7.0,HR,Bachelor,Full-time,South
19.0,3404.0,2.718281828459045,34.0,3.07,2894.0,,Marketing,High School,Full-time,West
,11175.0,1.2922827864993338,52.0,1.6,3498.0,7.0,IT,High School,Part-time,West
62.0,18158.0,2.453304515087031,54.0,3.95,2292.0,12.0,HR,Bachelor,Full-time,West
23.0,15763.0,2.6494682894060424,45.0,3.05,1610.0,,IT,High School,Contract,East
unknown,12860.0,2.718281828459045,,3.72,4505.0,16.0,Sales,High School,Part-time,South
45.0,8989.0,2.391198899587423,55.0,1.17,2761.0,11.0,HR,Bachelor,Part-time,East
61.0,18106.0,2.3306654931033957,49.0,1.34,4236.0,4.0,IT,Bachelor,Part-time,West
61.0,6636.0,1.8035259135633446,42.0,3.87,4293.0,13.0,IT,bachelor,Contract,South
37.0,13916.0,1.7133688813639787,33.0,1.29,2436.0,7.0,IT,Bachelor,Part-time,East
unknown,7809.0,1.1080083258081046,33.0,1.29,4857.0,,HR,Bachelor,Full-time,East
28.0,16456.0,2.271664495028051,21.0,1.05,1229.0,15.0,Finance,Master,Full-time,North
45.0,18444.0,2.453304515087031,56.0,4.83,4878.0,19.0,HR,PhD,Full-time,East
42.0,8997.0,1.6277187378063946,24.0,,,9.0,Marketing,PhD,Part-time,
56.0,5048.0,1.5865128974999683,57.0,2.41,4957.0,11.0,HR,PhD,Full-time,East
50.0,15338.0,2.391198899587423,33.0,2.19,2640.0,8.0,IT,Master,Part-time,South
18.0,7544.0,1.5072041981855182,58.0,2.4,2144.0,1.0,Sales,Bachelor,Full-time,East
44.0,,2.3306654931033957,44.0,4.1,3300.0,8.0,HR,PhD,Contract,North
,15775.0,1.227682450060079,39.0,3.65,641.0,13.0,HR,PhD,Contract,
58.0,13015.0,1.8984269857318075,21.0,,1955.0,4.0,IT,High School,Contract,South
20.0,6419.0,1.0259725845099392,58.0,1.7,2596.0,8.0,Sales,PhD,Contract,North
56.0,17430.0,1.227682450060079,25.0,1.39,1825.0,3.0,Sales,Bachelor,,West
23.0,10239.0,1.227682450060079,36.0,3.64,1713.0,9.0,Marketing,Bachelor,Full-time,South
25.0,17489.0,2.718281828459045,44.0,4.06,1659.0,2.0,HR,High School,Contract,West
44.0,19633.0,1.5072041981855182,47.0,2.06,4999.0,2.0,Sales,,Part-time,South
26.0,13357.0,1.0,21.0,1.08,840.0,13.0,Sales,PhD,Contract,South
54.0,7363.0,1.850368142769234,54.0,1.33,,15.0,Finance,PhD,Contract,West
50.0,13176.0,2.718281828459045,56.0,4.87,2468.0,12.0,Finance,Master,Part-time,South
59.0,11427.0,1.850368142769234,24.0,2.18,1203.0,4.0,Sales,PhD,Part-time,West
61.0,11580.0,2.6494682894060424,20.0,4.08,4913.0,8.0,Marketing,Bachelor,Full-time,North
41.0,7858.0,2.391198899587423,59.0,3.5,2929.0,9.0,Sales,Bachelor,Full-time,West
32.0,13040.0,1.0526197441660043,31.0,2.53,2300.0,5.0,sales,,Contract,North
49.0,18254.0,2.5170231739337448,55.0,1.82,1355.0,18.0,HR,Master,Contract,South
49.0,14470.0,2.1034729061296265,42.0,1.49,2312.0,11.0,Marketing,PhD,Full-time,West
41.0,4252.0,2.582396771032214,50.0,3.46,3366.0,15.0,IT,bachelor,Full-time,South
,9996.0,2.3306654931033957,30.0,4.1,4142.0,9.0,Marketing,Master,Part-time,West
29.0,15173.0,1.3258467103824276,29.0,3.58,682.0,17.0,IT,Master,Full-time,North
56.0,7673.0,1.5865128974999683,22.0,3.12,3612.0,12.0,HR,PhD,Full-time,North
19.0,18781.0,2.5170231739337448,33.0,,4992.0,,HR,PhD,Contract,West
20.0,16051.0,1.5072041981855182,35.0,4.87,2017.0,10.0,Finance,Master,Full-time,North
54.0,9881.0,1.2595685362456337,29.0,4.19,1856.0,10.0,IT,High School,,South
34.0,9949.0,1.3258467103824276,48.0,2.17,2674.0,13.0,Finance,Master,Full-time,South
,12521.0,1.4690491938490167,29.0,4.92,,19.0,IT,PhD,Part-time,East
19.0,11017.0,1.8035259135633446,31.0,3.41,4128.0,11.0,Finance,PhD,,North
45.0,9941.0,,,3.33,4596.0,13.0,HR,Master,,South
40.0,13209.0,1.1966035628978209,20.0,3.99,,8.0,Marketing,High School,Full-time,West
54.0,12550.0,,24.0,4.25,4191.0,8.0,Finance,Master,Contract,North
49.0,7637.0,1.669994800282483,39.0,3.63,518.0,,IT,Master,,South
50.0,7854.0,1.5072041981855182,27.0,1.51,3903.0,15.0,IT,PhD,Full-time,North
18.0,missing,1.7578694994319048,31.0,2.35,3504.0,11.0,HR,High School,Contract,West
36.0,7892.0,2.5170231739337448,20.0,4.71,1632.0,11.0,IT,Bachelor,,South
19.0,10043.0,1.4690491938490167,,1.9,3839.0,1.0,Sales,High School,Contract,East
61.0,19521.0,1.136786165687872,47.0,2.49,3811.0,17.0,Marketing,Master,Contract,East
43.0,7164.0,1.1966035628978209,56.0,2.73,3872.0,15.0,,Master,Part-time,North
49.0,10941.0,1.850368142769234,,2.76,1487.0,6.0,Marketing,Master,Full-time,West
23.0,17388.0,,31.0,3.45,3821.0,15.0,HR,High School,Contract,
49.0,8569.0,1.850368142769234,56.0,4.77,673.0,9.0,Finance,PhD,,West
,7300.0,1.3258467103824276,47.0,1.96,4241.0,14.0,Finance,Master,Full-time,South
28.0,9269.0,1.4318600867397593,,1.49,3552.0,18.0,Sales,Master,Full-time,North
34.0,6818.0,1.8984269857318075,25.0,1.79,1226.0,17.0,HR,High School,Part-time,South
55.0,15015.0,1.8984269857318075,39.0,4.55,4260.0,18.0,,Bachelor,Part-time,West
41.0,15234.0,2.214157112310289,,3.58,2375.0,5.0,Sales,Bachelor,Part-time,West
22.0,9254.0,1.2595685362456337,21.0,2.14,4533.0,9.0,Sales,PhD,Full-time,North
51.0,10350.0,1.4690491938490167,28.0,4.26,1489.0,11.0,Marketing,PhD,Contract,West
23.0,18183.0,1.16631144044593,56.0,4.45,4244.0,1.0,Marketing,Master,Contract,South
39.0,9238.0,1.5072041981855182,39.0,4.39,3186.0,18.0,Marketing,High School,Part-time,North
28.0,45450.0,1.7578694994319048,45.0,4.68,919.0,6.0,Sales,Master,Full-time,South
33.0,14637.0,1.8984269857318075,48.0,2.01,1093.0,2.0,IT,PhD,Contract,West
50.0,15647.0,1.669994800282483,20.0,4.02,2274.0,15.0,,,Part-time,North
26.0,12911.0,1.7133688813639787,54.0,,2959.0,14.0,Marketing,High School,Contract,South
23.0,11472.0,1.16631144044593,25.0,4.37,1435.0,5.0,,PhD,Contract,West
33.0,,,56.0,3.91,4308.0,6.0,,Bachelor,Full-time,West
46.0,3666.0,1.4318600867397593,24.0,4.11,831.0,6.0,Marketing,Bachelor,Full-time,East
20.0,7188.0,1.16631144044593,52.0,3.62,3949.0,18.0,Finance,High School,Contract,West
37.0,13161.0,1.227682450060079,33.0,1.71,3202.0,14.0,HR,Master,Part-time,South
53.0,14314.0,,31.0,3.18,4506.0,10.0,HR,Bachelor,Full-time,North
36.0,15891.0,1.7578694994319048,39.0,4.94,4368.0,14.0,Finance,Master,Contract,East
43.0,7777.0,2.0502233079983907,43.0,4.75,4700.0,13.0,Marketing,Bachelor,Full-time,West
20.0,,1.546350186596627,53.0,1.17,701.0,3.0,Sales,Bachelor,Full-time,West
36.0,16716.0,2.158105533948446,44.0,1.66,2997.0,6.0,Finance,Master,Full-time,West
37.0,9981.0,2.1034729061296265,48.0,1.53,2342.0,8.0,,PhD,Contract,South
49.0,9376.0,2.6494682894060424,58.0,,2366.0,12.0,Finance,Bachelor,Part-time,East
24.0,19907.0,2.391198899587423,50.0,4.27,2496.0,13.0,HR,Bachelor,Part-time,South
58.0,13160.0,1.546350186596627,42.0,1.85,1409.0,11.0,IT,Master,Part-time,East
50.0,17124.0,2.6494682894060424,57.0,3.02,4805.0,12.0,Sales,PhD,Full-time,North
57.0,19282.0,1.5072041981855182,39.0,4.36,3689.0,1.0,Marketing,Bachelor,Contract,South
56.0,13488.0,1.3956124250860895,42.0,3.93,1270.0,17.0,Marketing,Bachelor,Full-time,South
35.0,8240.0,2.158105533948446,35.0,3.17,3655.0,16.0,IT,PhD,Part-time,North
57.0,,1.8035259135633446,27.0,3.36,3001.0,11.0,Finance,Bachelor,,East
18.0,67390.0,2.391198899587423,,3.03,3214.0,13.0,Sales,PhD,Contract,West
28.0,15394.0,2.3306654931033957,20.0,2.19,4085.0,18.0,,PhD,Full-time,North
45.0,7432.0,1.0526197441660043,27.0,3.26,2128.0,11.0,,Master,,West
42.0,16568.0,2.5170231739337448,,3.76,886.0,,,High School,,West
40.0,17178.0,2.718281828459045,51.0,4.49,3921.0,6.0,IT,PhD,Full-time,North
48.0,3302.0,1.8984269857318075,57.0,3.55,4508.0,,Sales,Master,Full-time,
47.0,,1.7578694994319048,24.0,4.04,4593.0,16.0,IT,High School,Part-time,West
59.0,16013.0,2.6494682894060424,41.0,1.64,4863.0,4.0,IT,Bachelor,Part-time,North
52.0,11717.0,1.4318600867397593,53.0,2.85,2966.0,3.0,Sales,High School,Full-time,South
,11150.0,1.0799589994281866,20.0,1.04,2782.0,16.0,Sales,PhD,Full-time,
33.0,5125.0,2.0502233079983907,45.0,1.99,2356.0,12.0,Marketing,PhD,Part-time,South
43.0,14479.0,1.7133688813639787,29.0,3.91,2498.0,11.0,Marketing,PhD,Full-time,North
19.0,18745.0,1.850368142769234,49.0,4.97,1736.0,5.0,Sales,PhD,Part-time,South
18.0,19748.0,1.3602823761150602,37.0,1.4,4644.0,18.0,HR,PhD,Full-time,West
29.0,9809.0,1.546350186596627,36.0,2.61,1650.0,19.0,Marketing,Master,Part-time,South
22.0,7621.0,2.271664495028051,45.0,4.2,4818.0,6.0,HR,PhD,Contract,South
54.0,18034.0,1.4690491938490167,27.0,1.82,1931.0,18.0,Sales,Master,Part-time,West
49.0,16623.0,,59.0,3.22,2319.0,6.0,Marketing,Bachelor,Part-time,South
26.0,8126.0,2.391198899587423,31.0,3.93,2824.0,4.0,IT,PhD,Contract,West
58.0,8122.0,2.3306654931033957,46.0,3.46,1630.0,,Sales,PhD,Full-time,
52.0,8870.0,2.1034729061296265,27.0,1.75,3158.0,19.0,Finance,High School,Contract,West
36.0,4531.0,1.3602823761150602,44.0,2.42,4000.0,,HR,Bachelor,Part-time,South
33.0,11172.0,1.3602823761150602,23.0,4.14,874.0,17.0,Sales,PhD,Full-time,West
20.0,10673.0,1.546350186596627,52.0,3.22,2620.0,11.0,,PhD,Contract,North
37.0,9882.0,2.214157112310289,20.0,1.02,4520.0,11.0,Marketing,Bachelor,Full-time,West
41.0,4906.0,2.214157112310289,38.0,4.04,2521.0,16.0,Marketing,Master,Full-time,South
50.0,6086.0,2.391198899587423,50.0,1.14,4205.0,2.0,Marketing,PhD,Contract,South
41.0,16503.0,2.6494682894060424,35.0,3.98,3759.0,2.0,Finance,High School,Full-time,East
28.0,11152.0,,33.0,1.81,3935.0,8.0,sales,PhD,Contract,West
25.0,8750.0,2.0502233079983907,24.0,4.83,2389.0,13.0,Sales,High School,Part-time,North
53.0,15772.0,1.4690491938490167,45.0,2.47,2323.0,10.0,Marketing,High School,Full-time,West
55.0,13267.0,1.2595685362456337,47.0,2.31,1974.0,8.0,IT,PhD,Part-time,West
57.0,missing,2.1034729061296265,21.0,1.6,2742.0,4.0,Marketing,PhD,Part-time,North
37.0,missing,1.850368142769234,25.0,2.22,3743.0,15.0,Finance,High School,,West
52.0,19509.0,2.6494682894060424,28.0,4.51,3634.0,1.0,IT,Bachelor,Contract,North
42.0,18147.0,1.6277187378063946,52.0,4.99,2570.0,11.0,Sales,Bachelor,Full-time,North
52.0,7632.0,,44.0,2.47,859.0,7.0,Sales,PhD,Part-time,West
42.0,9288.0,1.0,32.0,2.79,2541.0,17.0,HR,Master,Part-time,West
46.0,6596.0,2.1034729061296265,28.0,3.89,1641.0,18.0,IT,Bachelor,Contract,South
35.0,14475.0,1.0526197441660043,32.0,4.54,2135.0,12.0,HR,PhD,Full-time,South
63.0,9168.0,1.3956124250860895,50.0,3.37,4500.0,9.0,sales,Bachelor,Part-time,East
35.0,12795.0,2.1034729061296265,30.0,2.57,2443.0,5.0,,Master,Part-time,East
19.0,10561.0,,,2.65,3861.0,10.0,Finance,PhD,Part-time,West
52.0,11258.0,1.546350186596627,53.0,3.78,3480.0,4.0,HR,Master,Contract,North
33.0,98080.0,2.5170231739337448,57.0,1.01,506.0,5.0,Finance,PhD,Part-time,East
